Action ID,Action Name,Action Definition,Action Source,MitigationCode
A0058_Eisenberg2025,Establish content safety policy and boundaries,"Define and document comprehensive content safety policies, including prohibited content categories, acceptable content guidelines, output constraints, and required safeguards. Establish clear thresholds, classification criteria, and escalation levels for different types of harmful content. Include specific criteria for content that could enable or promote malicious use.",Eisenberg2025,1.5 Safety Decision Frameworks
A0062_Eisenberg2025,Establish frontier AI safety framework,"Establish and enforce policies governing system AI scaling decisions, including risk assessment requirements, capability thresholds, and deployment constraints. Define clear criteria for when and how system capabilities can be expanded based on safety considerations.",Eisenberg2025,1.5 Safety Decision Frameworks
A0071_Eisenberg2025,Establish human-AI interaction safety framework,"Implement comprehensive safeguards to ensure appropriate levels of human oversight, control, and agency in AI system interactions, including decision autonomy requirements, override capabilities, and dependency prevention measures.",Eisenberg2025,1.5 Safety Decision Frameworks
A0077_Eisenberg2025,Establish responsible development and deployment policy,"Establish policies and procedures governing AI system development and deployment decisions that consider societal implications, including competitive pressures, governance gaps, and benefit distribution.",Eisenberg2025,1.5 Safety Decision Frameworks
A0113_Future of Life Institute2024,Fine-Tuning Access Threshold,"Has your firm set a risk or capabilities threshold beyond which access to model fine-tuning should be restricted to prevent harm to the public? If yes, please elaborate on the threshold.",Future of Life Institute2024,1.5 Safety Decision Frameworks
A0145_Future of Life Institute2024,Public Risk Threshold for Deployment,"Has your organization publicly specified an evaluations-based risk or capabilities threshold that would cause the firm not to deploy a model and to pause further development until it can implement adequate risk mitigation? If yes, please provide a URL to the website specifying these commitments.",Future of Life Institute2024,1.5 Safety Decision Frameworks
A0150_Future of Life Institute2024,Safety research,We report whether the company seriously engages in research dedicated to ensuring the safety and control/alignment of ever more advanced future AI models. We report the amount of publications and research directions.,Future of Life Institute2024,1.5 Safety Decision Frameworks
A0173_Schuett2023,Avoid Capabilities Jumps,AGI labs should not deploy models that are much more capable than any existing models.*,Schuett2023,1.5 Safety Decision Frameworks
A0182_Schuett2023,Gradual scaling,AGI labs should only gradually increase the amount of compute used for their largest training runs.,Schuett2023,1.5 Safety Decision Frameworks
A0192_Schuett2023,No unsafe open-sourcing,"AGI labs should not open-source powerful models, unless they can demonstrate that it is sufficiently safe to do so.",Schuett2023,1.5 Safety Decision Frameworks
A0195_Schuett2023,Pausing Training of Dangerous Models,AGI labs should pause the development process if sufficiently dangerous capabilities are detected.,Schuett2023,1.5 Safety Decision Frameworks
A0208_Schuett2023,Safety vs. capabilities,A significant fraction of employees of AGI labs should work on enhancing model safety and alignment rather than capabilities.,Schuett2023,1.5 Safety Decision Frameworks
A0254_Wiener2024,Implement a written safe and security plan (SSP),"This bill would enact the Safe and Secure Innovation for Frontier
Artificial Intelligence Models Act to, among other things, require
that a developer, before beginning to initially train a covered model,
as defined, comply with various requirements, including
implementing the capability to promptly enact a full shutdown, as
defined, and implement a written and separate safety and security
protocol, as specified.

(3)  Implement a written and separate safety and security protocol
that does all of the following:
(A)  Specifies protections and procedures that, if successfully
implemented, would successfully comply with the developer’s
duty to take reasonable care to avoid producing a covered model
or covered model derivative that poses an unreasonable risk of
causing or materially enabling a critical harm.
(B)  States compliance requirements in an objective manner and
with sufficient detail and specificity to allow the developer or a
third party to readily ascertain whether the requirements of the
safety and security protocol have been followed.
(C)  Identifies a testing procedure, which takes safeguards into
account as appropriate, that takes reasonable care to evaluate if
both of the following are true:
(i)  A covered model poses an unreasonable risk of causing or
enabling a critical harm.
(ii)  Covered model derivatives pose an unreasonable risk of
causing or enabling a critical harm.
(D)  Describes in detail how the testing procedure assesses the
risks associated with post-training modifications. ",Wiener2024,1.5 Safety Decision Frameworks
A0260_EU AI Office2025,Safety and Security Framework ,"Signatories commit to adopting and implementing a Safety and Security Framework that will: (1) apply to their GPAISRs (general-purpose AI models with systemic risk); and (2) detail the systemic risk assessment, systemic risk mitigation, and governance risk mitigation measures and procedures that they intend to adopt to keep systemic risks stemming from their GPAISRs within acceptable levels.",EU AI Office2025,1.5 Safety Decision Frameworks
A0279_Campos2025,Modeling of the risks,"Based on risks identified in the literature and during open-ended red-teaming exercises, AI developers should create detailed scenarios mapping how an AI model’s capabilities or propensities could lead to real-world harms. These scenarios should break down complex risk pathways into discrete, measurable steps.",Campos2025,1.5 Safety Decision Frameworks
A0281_Campos2025,Risk Tolerance Threshold,"In the second step of the framework, AI developers need first to set a risk tolerance, that is, a risk level that they commit to not overshoot.",Campos2025,1.5 Safety Decision Frameworks
A0282_Campos2025, Operationalizing Risk Tolerance,AI developers must operationalize their risk tolerance. This means translating the risk tolerance into concrete indicators of the level of risk—Key Risk Indicators (KRIs)—and the corresponding targets for mitigations—Key Control Indicators (KCIs)—that have to be reached.,Campos2025,1.5 Safety Decision Frameworks
A0332_Campos2025,Decision-Making Protocols,Senior management should have clear go/no-go decision protocols and rules to follow in their decision-making…,Campos2025,1.5 Safety Decision Frameworks
A0392_NIST2024,Performance Threshold Standards,"Establish minimum thresholds for performance or assurance criteria and review as part of deployment approval (""go/""no-go"") policies, procedures, and processes, with reviewed processes and approval thresholds reflecting measurement of GAI capabilities and risks.",NIST2024,1.5 Safety Decision Frameworks
A0397_NIST2024,Development Halt Plan,Devise a plan to halt development or deployment of a GAI system that poses unacceptable negative risk.,NIST2024,1.5 Safety Decision Frameworks
A0650_Barrett2024,Third-Party Risk,"Policies and procedures
are in place that address
AI risks associated with
third-party entities,
including risks of
infringement of a
third-party’s intellectual
property or other
rights.",Barrett2024,1.5 Safety Decision Frameworks
A0691_Barrett2024,Determine Deployment Readiness  ,"A determination is
made as to whether
the AI system achieves
its intended purposes
and stated objectives
and whether its
development or
deployment should
proceed.",Barrett2024,1.5 Safety Decision Frameworks
A0741_NIST2024,Information Security,"Establish and regularly review specific criteria that warrants the deactivation of
GAI systems in accordance with set risk tolerances and appetites.",NIST2024,1.5 Safety Decision Frameworks
A0750_NIST2024,CBRN Information or Capabilities; Confabulation,"Use organizational risk tolerance to evaluate acceptable risks and performance
metrics and decommission or retrain pre-trained models that perform outside of
defined limits.",NIST2024,1.5 Safety Decision Frameworks
A0773_UK Government2023,Development Constrained by Risk Thresholds ,"At each risk threshold, proactively commit to only proceed with certain development or deployment steps if specific mitigations are in place. Such mitigations could include many of the practices outlined in this document.",UK Government2023,1.5 Safety Decision Frameworks
A0780_UK Government2023,Pause of Training Runs ,"Prepare to pause training runs or reduce access to deployed models, if risk thresholds are reached without the committed risk mitigations being in place. This may involve warning existing customers that access reductions are a possibility and creating contingency plans to minimise negative impacts on customer use.",UK Government2023,1.5 Safety Decision Frameworks
A0790_UK Government2023,Response Processes for Evaluation Results ,"Ensure processes are in place to respond to evaluation results. Evaluations are a necessary input to a responsible capability scaling policy which, depending on the results of the evaluation, would probably require implementation of practices outlined in other sections of this document such as preventing model misuse, information sharing and other risk mitigation measures.",UK Government2023,1.5 Safety Decision Frameworks
A0881_UK Government2023,Defense Tool Availability Before system release,"The larger the risk is and the more effective tools may be, the more important it is to prepare defensive tools ahead of time. It may be important to delay system releases until appropriate defensive tools are ready.",UK Government2023,1.5 Safety Decision Frameworks
A1038_Uuk2024,Safety vs. capabilities investments,A significant fraction of employees and computational resources are dedicated to enhancing model safety rather than advancing its capabilities.  ,Uuk2024,1.5 Safety Decision Frameworks
A0073_Eisenberg2025,Implement environmental impact management system,"Implement comprehensive environmental impact monitoring and optimization procedures, including energy efficiency measures, carbon footprint tracking, and hardware lifecycle management.",Eisenberg2025,1.6 Environmental Impact Management
A0094_Future of Life Institute2024,Carbon emission analyses and offsets,Information about carbon emission analyses and offsets.,Future of Life Institute2024,1.6 Environmental Impact Management
A0095_Future of Life Institute2024,Carbon footprint assessment,The development and deployment of the largest AI models use vast amounts of energy and resources. Does your organization rigorously assess its carbon footprint?,Future of Life Institute2024,1.6 Environmental Impact Management
A0131_Future of Life Institute2024,Offsetting of carbon footprint,Does your organization fully offset its carbon footprint by donating to projects that capture or reduce carbon emissions?,Future of Life Institute2024,1.6 Environmental Impact Management
A0683_Barrett2024,Assess Environmental Impact,"Environmental impact
and sustainability of
AI model training and
management activities –
as identified in the Map
function – are assessed
and documented.",Barrett2024,1.6 Environmental Impact Management
A0712_NIST2024,Environmental Degradation Minimisation,"Document anticipated environmental impacts of model development,
maintenance, and deployment in product design decisions.",NIST2024,1.6 Environmental Impact Management
A0713_NIST2024,Environmental Impact Assessment ,"Measure or estimate environmental impacts (e.g., energy and water
consumption) for training, fine tuning, and deploying models: Verify tradeoffs
between resources used at inference time versus additional resources required
at training time.",NIST2024,1.6 Environmental Impact Management
A0714_NIST2024,Effectiveness of Carbon Capture,"Verify effectiveness of carbon capture or offset programs for GAI training and
applications, and address green-washing concerns. ",NIST2024,1.6 Environmental Impact Management
A0994_Gipiškis2024,More energy-efficient models or techniques,"Deploying more energy-efficient models can reduce their environmental impact. Different model architectural choices result in varying environmental costs, and identifying and adopting more energy-efficient options can result in significant environmental savings, especially when implemented at scale. Consideration should be given to both training energy usage, and deployment (“inference”) usage for the expected model lifecycle.",Gipiškis2024,1.6 Environmental Impact Management
A0995_Gipiškis2024,Disclosure of energy consumption by AI systems to authorities,"Disclosures can direct more necessary attention and scrutiny to projects that consume significant energy. Disclosure involves releasing a summary of key details of the energy consumption of the AI system by all users, including the compute resources used, the amount of power consumed, the measures to reduce excess energy consumption that were in place, and energy sources [133].",Gipiškis2024,1.6 Environmental Impact Management
A0996_Gipiškis2024,Using low carbon intensity energy grids,"Moving model training to energy grids with low carbon intensity can reduce the negative environmental impact [30]. The efficiency of energy grids can vary greatly depending on location. Models can be trained in different locations, as latency is not an issue.",Gipiškis2024,1.6 Environmental Impact Management
A0006_Bengio2025,Engagement with Relevant Experts and Communities,"Domain experts, users, and impacted communities have unique insights into likely risks.

There are emerging guidelines for participatory and inclusive AI. ",Bengio2025,1.7 Societal Impact Assessment
A0008_Bengio2025,Impact Assessment,"A tool used to assess the potential impacts of a technology or project.

The EU AI Act requires developers of high- risk AI systems to carry out Fundamental Rights Impact Assessments. ",Bengio2025,1.7 Societal Impact Assessment
A0026_Bengio2025,Safety by Design,"An approach that centres user safety in the design and development of products and services.

This approach is common across engineering and safety- critical fields including aviation and energy.",Bengio2025,1.7 Societal Impact Assessment
A0036_Casper2025,Plans to minimize risks to society,"Developers can be required to produce a report on risks (Slattery et al., 2024) posed by their frontier systems and risk mitigation practices that they are taking to reduce them.",Casper2025,1.7 Societal Impact Assessment
A0072_Eisenberg2025,Implement psychological impact management system,"Establish monitoring and intervention procedures to detect and prevent unhealthy user-AI relationships, including emotional dependency tracking, interaction boundary enforcement, and well-being safeguards.",Eisenberg2025,1.7 Societal Impact Assessment
A0076_Eisenberg2025,Establish societal impact assessment framework,"Implement comprehensive processes for assessing and documenting potential societal impacts of AI systems, including effects on employment, economic systems, power dynamics, and cultural value. Include stakeholder consultation and impact mitigation planning.",Eisenberg2025,1.7 Societal Impact Assessment
A0111_Future of Life Institute2024,Expert Consultation on Societal Risks,"Has your organization consulted with top-level domain experts to assess whether your most capable models increase societal risks across the following domains?
Risks from biological weapons
Risks from autonomy (e.g., self-replication, deception)
Risks from cyber attacks
Risks from chemical weapons
Risks from manipulation and political influence
Risks from systematic discrimination against marginalized groups",Future of Life Institute2024,1.7 Societal Impact Assessment
A0115_Future of Life Institute2024,Fundamental Rights Impact Assessments,Is your organization conducting fundamental rights impact assessments that seek input from a diverse group of external stakeholders who are impacted by your organization’s AI systems?,Future of Life Institute2024,1.7 Societal Impact Assessment
A0394_NIST2024,Stakeholder Input Collection,"Obtain input from stakeholder communities to identify unacceptable use, in accordance with activities in the AI RMF Map function.",NIST2024,1.7 Societal Impact Assessment
A0422_NIST2024,	Actor Inclusion in Risk ID, Include relevant AI Actors in the GAI system risk identification process.,NIST2024,1.7 Societal Impact Assessment
A0428_NIST2024,Joint Educational Activities,Conduct joint educational activities and events in collaboration with third parties to promote best practices for managing GAI risks.,NIST2024,1.7 Societal Impact Assessment
A0444_NIST2024,	Purpose Identification Factors,"When identifying intended purposes, consider factors such as internal vs. external use, narrow vs. broad application scope, fine-tuning, and varieties of data sources (e.g., grounding, retrieval-augmented generation).",NIST2024,1.7 Societal Impact Assessment
A0445_NIST2024,Context of Use Documentation,"Determine and document the expected and acceptable GAI system context of use in collaboration with socio-cultural and other domain experts, by assessing: Assumptions and limitations; Direct value to the organization; Intended operational environment and observed usage patterns; Potential positive and negative impacts to individuals, public safety, groups, communities, organizations, democratic institutions, and the physical environment; Social norms and expectations.",NIST2024,1.7 Societal Impact Assessment
A0492_NIST2024,Interest Group Definition,"Define relevant groups of interest (e.g., demographic groups, subject matter experts, experience with GAI technology) within the context of use as part of plans for gathering structured public feedback.",NIST2024,1.7 Societal Impact Assessment
A0509_NIST2024,Value Chain Wellbeing Assessment,"Assess adverse impacts, including health and wellbeing impacts for value chain or other AI Actors that are exposed to sexually explicit, offensive, or violent information during GAI training and maintenance.",NIST2024,1.7 Societal Impact Assessment
A0532_NIST2024,End-User Expectation Engagement,Engage directly with end-users and other stakeholders to understand their expectations and concerns regarding content provenance. Use this feedback to guide the design of provenance data-tracking techniques.,NIST2024,1.7 Societal Impact Assessment
A0626_Barrett2024,Anticipate Misuse & Impact,"Identify reasonably foreseeable uses, and misuses or abuses for a GPAIS (e.g, auto-
mated generation of toxic or illegal content or disinformation, or aiding with proliferation
of cyber, chemical, biological, or radiological weapons), and identify reasonably foreseeable
potential impacts (e.g., to fundamental rights)
",Barrett2024,1.7 Societal Impact Assessment
A0648_Barrett2024,External Feedback on Impacts,"Organizational policies
and practices are in
place
to collect, consider,
prioritize, and integrate
feedback from those
external to the team
that developed or
deployed the AI system
regarding the potential
individual and societal
impacts related to AI
risks.",Barrett2024,1.7 Societal Impact Assessment
A0708_NIST2024,Assessments for Environmental; Harmful Bias and Homogenization,"Identify the classes of individuals, groups, or environmental ecosystems which
might be impacted by GAI systems through direct engagement with potentially
impacted communities.",NIST2024,1.7 Societal Impact Assessment
A0711_NIST2024,"Dangerous, Violent, or Hateful Content Mitigation",Assess safety to physical environments when deploying GAI systems,NIST2024,1.7 Societal Impact Assessment
A0716_NIST2024,Harmful Bias and Homogenization Assessments,"Conduct impact assessments on how AI-generated content might affect
different social, economic, and cultural groups.",NIST2024,1.7 Societal Impact Assessment
A0717_NIST2024,Human-AI Configuration; Information Integrity Studies,"Conduct studies to understand how end users perceive and interact with GAI
content and accompanying content provenance within context of use. Assess
whether the content aligns with their expectations and how they may act upon
the information presented.",NIST2024,1.7 Societal Impact Assessment
A0733_NIST2024,Human-AI Configuration,"Use feedback from internal and external AI Actors, users, individuals, and
communities, to assess impact of AI-generated content. (AI Deployment, AI Impact Assessment, Governance and Oversight, Operation and Monitoring).",NIST2024,1.7 Societal Impact Assessment
A0753_NIST2024,Human-AI Configuration,"Evaluate the use of sentiment analysis to gauge user sentiment regarding GAI
content performance and impact, and work in collaboration with AI Actors
experienced in user research and experience.",NIST2024,1.7 Societal Impact Assessment
A0884_UK Government2023,Societal Impact Research,"Study the societal impacts of AI systems they have deployed, particularly by collaborating with external researchers, independent research organisations, and third party data owners. By collaborating and joining their data with that of third parties, such as internet platforms, frontier AI organisations can assess the impacts of their AI systems. Privacy-enhancing technologies could be employed to enable data sharing between frontier AI organisations, third parties, and external researchers while protecting confidential information. As well as data, frontier AI organisations could also facilitate research on the societal impacts of their AI systems by providing access to the necessary infrastructure and compute.",UK Government2023,1.7 Societal Impact Assessment
A0885_UK Government2023,Third Party Knowledge for AI systems' Downstream societal impacts,Draw on multidisciplinary expertise and the lived experience of impacted communities to assess the downstream societal impacts of their AI systems. Impact assessments that account for a wide range of potential societal impacts and meaningfully involve affected stakeholder groups could help to anticipate further downstream societal impacts.,UK Government2023,1.7 Societal Impact Assessment
A0886_UK Government2023,Societal Impact Informed Risk Assessments ,"Use assessments of downstream societal impacts to inform and corroborate risk assessments. Downstream societal impacts, such as threats to democracy, widespread unemployment, and environmental impacts, could be considered in risk assessments of AI systems, alongside more direct risks. See the Responsible Capability Scaling section for more information on good practices for risk assessment.",UK Government2023,1.7 Societal Impact Assessment
A0910_UK Government2023,Assessment of Safeguard Costs for Users ,"Regularly assess the costs of safeguards to users, including bias and loss of privacy, as well as restrictions on users’ freedom to discuss sensitive topics with AI agents in appropriate contexts. This may involve, for instance, estimating the false positive rates of filters by sampling blocked inputs and outputs; comparing the capabilities, efficiency, and user ratings of models that lack certain safeguards against models that have the safeguards in place; and conducting user interviews to understand how concerned informed users are about losses in privacy and the emergence of biases in algorithmically filtered content.",UK Government2023,1.7 Societal Impact Assessment
A0634_Barrett2024,Trustworthy AI practices,"The characteristics
of trustworthy AI
are integrated into
organizational policies,
processes, procedures,
and practices.",Barrett2024,1.X Governance & Oversight Control not otherwise categorized
A0645_Barrett2024,Safety-First Culture,"Organizational policies
and practices are in
place to foster a critical
thinking and safety-
first mindset in the
design, development,
deployment, and uses of
AI systems to minimize
potential negative
impacts.",Barrett2024,1.X Governance & Oversight Control not otherwise categorized
A0038_Casper2025,Security measures,"Given the challenges of securing model weights and the hazards of leaks (Nevo et al., 2024), frontier developers can be required to document high-level noncompromising information about their security measures (e.g., Anthropic, 2024).",Casper2025,2.1 Model & Infrastructure Security
A0043_Eisenberg2025,Implement AI asset protection framework,"Deploy technical protection measures including encryption, secure enclaves, and versioning controls for AI models and associated data.",Eisenberg2025,2.1 Model & Infrastructure Security
A0044_Eisenberg2025,Establish security validation framework,"Execute comprehensive pre-deployment security validation including AI-specific vulnerability assessments, penetration testing, and security requirement verification.",Eisenberg2025,2.1 Model & Infrastructure Security
A0045_Eisenberg2025,Implement continuous security testing system,"Deploy ongoing security testing mechanisms including automated vulnerability scanning, continuous security monitoring, and periodic reassessment of security controls.",Eisenberg2025,2.1 Model & Infrastructure Security
A0046_Eisenberg2025,Implement AI security defense system,"Deploy active defense mechanisms combining continuous security monitoring, input validation, adversarial detection, and adaptive response capabilities specific to AI systems.",Eisenberg2025,2.1 Model & Infrastructure Security
A0100_Future of Life Institute2024,"Compliance certification with ISO, SOC, HIPAA",,Future of Life Institute2024,2.1 Model & Infrastructure Security
A0126_Future of Life Institute2024,Mandatory security controls,"- Use of password managers
- Physical security keys
- Compliance monitoring software for software updates
- Multifactor authentification on all platforms
- Regular cybersecurity training ",Future of Life Institute2024,2.1 Model & Infrastructure Security
A0134_Future of Life Institute2024,Physical security controls,"Please indicate whether your organization implements the following physical security controls. Please specify further whether they are implemented at all staff locations or more sparsely
- Offices guarded by physical security teams
- Comprehensive access logging for premises
- Office entrances monitored by security cameras
- Office access controlled via key cards implementing least access priviledge ",Future of Life Institute2024,2.1 Model & Infrastructure Security
A0148_Future of Life Institute2024,Require security clearances and have private investigators conduct security checks,"Does your organization defend against insider threats by requiring security clearances or by having private investigators conduct background checks? Please select which interventions are applied when hiring or appointing individuals for the groups listed below.
- Members of the board of directors
- All staff with access to model weights
- Certain key employees
- All Staff ",Future of Life Institute2024,2.1 Model & Infrastructure Security
A0188_Schuett2023,Military-grade information security,"The information security of AGI labs should be proportional to the capabilities of their models, eventually matching or exceeding that of intelligence agencies (e.g. sufficient to defend against nation states).",Schuett2023,2.1 Model & Infrastructure Security
A0199_Schuett2023,Protection against espionage,AGI labs should take adequate measures to tackle the risk of state-sponsored or industrial espionage.*,Schuett2023,2.1 Model & Infrastructure Security
A0210_Schuett2023,Security standards,AGI labs should comply with information security standards (e.g. ISO/IEC 27001 or NIST Cybersecurity Framework). These standards need to be tailored to an AGI context.,Schuett2023,2.1 Model & Infrastructure Security
A0215_Schuett2023,Tracking model weights,AGI labs should have a system that is intended to track all copies of the weights of powerful models.*,Schuett2023,2.1 Model & Infrastructure Security
A0252_Wiener2024,Cybersecurity protocols to prevent the model from being unintentionally stolen,"Implement reasonable administrative, technical, and physical
cybersecurity protections to prevent unauthorized access to, misuse
of, or unsafe post-training modifications of, the covered model
and all covered model derivatives controlled by the developer that
are appropriate in light of the risks associated with the covered
model, including from advanced persistent threats or other
sophisticated actors. ",Wiener2024,2.1 Model & Infrastructure Security
A0261_EU AI Office2025,Security mitigations,"Signatories commit to implementing state-of-the-art security mitigations designed to thwart such unauthorised access by well-resourced and motivated non-state-level adversaries, including insider threats from humans or AI systems, so as to meet at least the RAND SL3 security goal or equivalent, and achieve higher security goals (e.g., RAND SL4 or SL5)",EU AI Office2025,2.1 Model & Infrastructure Security
A0513_NIST2024,Architecture Monitoring Verification,"Verify that GAI system architecture can monitor outputs and performance, and handle, recover from, and repair errors when security anomalies, threats and impacts are detected.",NIST2024,2.1 Model & Infrastructure Security
A0516_NIST2024,Security Vulnerability Assessment,"Apply established security measures to: Assess likelihood and magnitude of vulnerabilities and threats such as backdoors, compromised dependencies, data breaches, eavesdropping, man-in-the-middle attacks, reverse engineering, autonomous agents, model theft or exposure of model weights, AI inference, bypass, extraction, and other baseline security concerns.",NIST2024,2.1 Model & Infrastructure Security
A0519_NIST2024,Security Effectiveness Metrics,"Identify metrics that reflect the effectiveness of security measures, such as data provenance, the number of unauthorized access attempts, inference, bypass, extraction, penetrations, or provenance verification.",NIST2024,2.1 Model & Infrastructure Security
A0679_Barrett2024,Evaluate Security & Resilience,"AI system security and
resilience – as identified
in the Map function
– are evaluated and
documented.",Barrett2024,2.1 Model & Infrastructure Security
A0819_UK Government2023,Application of Infrastructure Principles,Apply good infrastructure principles to every part of this process from design to decommissioning. This is important as threats can occur at different stages of an AI project’s life cycle.,UK Government2023,2.1 Model & Infrastructure Security
A0820_UK Government2023,Regular Assessment of Supply Chain Security,"Regularly assess the security of their supply chains and ensure suppliers adhere to the same standards their own organisation applies. Ensuring data, software components and hardware are obtained from trusted sources will help mitigate supply chain risk.",UK Government2023,2.1 Model & Infrastructure Security
A0825_UK Government2023,Tracking Tools for Security and Version Control Assets,"Have processes and tools to track, authenticate, secure and version control assets and be able to roll back to a known safe state in the event of a compromise. This is important as data and models do not remain static during the whole lifespan of an AI project.",UK Government2023,2.1 Model & Infrastructure Security
A0835_UK Government2023,Default Integration of Secure Settings ,"Integrate the most secure settings within your products by default. Where configuration is necessary, default options should be broadly secure against common threats.",UK Government2023,2.1 Model & Infrastructure Security
A0836_UK Government2023,Default Necessary Security Updates ,"Ensure necessary security updates are a default part of every product and use secure, modular update procedures to distribute them. This will help your products remain secure in the face of new and developing threats.
",UK Government2023,2.1 Model & Infrastructure Security
A0848_UK Government2023,Suitable Level of Screening,"Apply a suitable level of screening, informed by a role-based risk assessment, to all individuals who are provided access to organisational assets including permanent, temporary and contract workers.",UK Government2023,2.1 Model & Infrastructure Security
A0875_UK Government2023,Privacy Research,Improving our ability to address the privacy risks associated with AI systems,UK Government2023,2.1 Model & Infrastructure Security
A0876_UK Government2023,Cybersecurity Research, Improving our ability to ensure the security of AI systems,UK Government2023,2.1 Model & Infrastructure Security
A0877_UK Government2023,Criminality Research,"Improving our ability to prevent criminal behaviour through the use of AI systems (e.g. fraud, online child sexual abuse)",UK Government2023,2.1 Model & Infrastructure Security
A0895_UK Government2023,"Discretion for Development, Storage, and Sharing of Content Filters","Exercise appropriate caution when developing, storing, or sharing content filters – and any specialised datasets used to produce them. In some cases, components of filters or datasets used to create them can be used to train higher-risk models. For instance, a classifier that evaluates the aggressiveness of a model’s outputs may be used to train the model to be more aggressive.",UK Government2023,2.1 Model & Infrastructure Security
A0984_Gipiškis2024,Protect proprietary or unreleased AI model ar- chitecture and parameters,"The developers of AI models can invest in cybersecurity to prevent compute re- sources, training source code, model weights, and other critical resources from being accessed and copied by unauthorized third parties (e.g., through insider threats or supply chain attacks).
Access to model source code and weights can be restricted through an access control scheme, such as role-based access control. If access to model outputs by third parties is required, it can be provided through an API. Air gaps can block unauthorized remote access. In the case of necessary interaction with an external network, network bandwidth limitations can also be enforced to increase the detection window of potential breaches [108].",Gipiškis2024,2.1 Model & Infrastructure Security
A0985_Gipiškis2024,Hardware limitations on data center network connections,"Hardware-enforced bandwidth limitations on data center network connections can protect AI model weights from unauthorized access or exfiltration, by lim- iting the speed of model weight access on the connections between data centers and the outside world.
Such limitations can be put in place in multiple ways, for example by only constructing connections with a specific bandwidth. The output rate on all data channels can be set low enough that copying the weights is possible in principle (e.g., to enable regular backups), but would take so long that an unauthorized exfiltration of the weights could be detected and prevented.
Such rate-limiting is only effective if it applies to all output connections for all storage locations on which the weights of the model are stored [139].",Gipiškis2024,2.1 Model & Infrastructure Security
A1045_Uuk2024,Advanced information security,Implementing advanced cybersecurity measures and insider threat safeguards to protect proprietary and unreleased model weights.,Uuk2024,2.1 Model & Infrastructure Security
A0078_Eisenberg2025,Implement AI alignment validation system,"Establish processes for validating and maintaining AI system alignment with human values and goals, including testing for goal preservation, monitoring for objective drift, and validation of decision-making processes against ethical standards. Includes specific attention to detecting and preventing potentially misaligned behaviors, emergent goals, or deceptive actions. Covers using interpretability techniques to measure and assure alignment with intended goals.",Eisenberg2025,2.2 Model Alignment
A0171_Schuett2023,Alignment Techniques,AGI labs should implement state-of-the-art safety and alignment techniques.,Schuett2023,2.2 Model Alignment
A0870_UK Government2023,Interpretability and Explainability Research,Improving our ability to understand the inner functioning of AI systems and explain their behaviour,UK Government2023,2.2 Model Alignment
A0873_UK Government2023,Reliability and controllability (or “alignment”) research," Improving the consistency of an AI system in adhering to the specifications it was programmed to carry out and operating in accordance with the designer’s intentions, and decreasing its potential to behave in ways its user or developer does not want (e.g. producing offensive or biased responses, not refusing harmful requests, or employing harmful capabilities without prompting)",UK Government2023,2.2 Model Alignment
A0896_UK Government2023,Fine-Tuning Models ,"Fine-tune models to reduce the tendency to produce harmful outputs. This may involve using reinforcement learning from human or AI-generated feedback regarding the appropriateness of different model outputs e.g. a constitutional based approach where human input to the fine-tuning process is provided by a list of principles. It may also involve fine-tuning models on curated datasets of appropriate responses to prompts. Where human feedback is used, the mental wellbeing of moderators may need to be considered.",UK Government2023,2.2 Model Alignment
A0929_UK Government2023,Harmful Data for Reduction of Dangerous Capabilities,"For some kinds of risks, explore options to use harmful data to reduce AI systems’ dangerous capabilities or to help develop mitigation tools. For example, by fine-tuning a system using labelled harmful content to refuse requests related to the harmful information.",UK Government2023,2.2 Model Alignment
A0978_Gipiškis2024,AI model-assisted oversight of AI systems,"AI model-assisted oversight can help monitor and supervise the training of increasingly capable GPAI systems, which may become difficult to oversee at scale by human supervisors during training or testing. Monitoring and supervision may become especially difficult in cases where increasingly advanced GPAIs perform near or above human level in some specialized domains, where supervision quality might fail to keep pace with capabilities improvement. The training signal may include labeled data, reward function, and user feedback on produced outputs. Currently, there are two broad approaches to provide scalable training signals to such systems:
1. Scalable oversight: Improving of the supervisor’s capabilities to supervise, such that they can provide accurate training signals quickly and at scale [31].
For example, a debate format can be used between two GPAI systems (two instances of the same GPAI, or similarly capable systems). A Human supervisor judges the debate, making it easier to assess correct responses in domains which might otherwise require significant time investment of domain specific expertise [102].
2. Weak-to-strong generalization: Enhance the training signals while ensur- ing that the enhanced signal remains faithful to the intentions of the orig- inal human-provided signal [37].
For example, a hierarchical (“bootstrapping”) oversight approach can be implemented: A series of GPAI models with increasing capabilities are used, where each model in the hierarchy provides oversight for the next more capable model. The least capable model at the base of the hierarchy is the only one directly overseen by human supervisors, as it is easier to oversee than the more capable models.",Gipiškis2024,2.2 Model Alignment
